sid,station_name,lat,lon,elev,begints,rw_name,rw_heading,faa_id,real_name
PAIM,INDIAN MTN AFS AWOS,65.99276,-153.70377,389.0,1951-08-01 07:00:00-05,Runway 6/24,,UTO,Indian Mountain LRRS Airport
PAJN,JUNEAU INTL AIRPORT (ASOS),58.354969999999994,-134.57628,7.0,1948-07-01 09:00:00-05,Runway 8/26,105.0,JNU,Juneau International Airport
PAJN,JUNEAU INTL AIRPORT (ASOS),58.354969999999994,-134.57628,7.0,1948-07-01 09:00:00-05,Runway 8W/26W,,JNU,Juneau International Airport
PAFE,KAKE SEAPLANE BASE,56.96136,-133.91026000000002,42.077408,1972-12-31 18:00:00-06,Runway 11/29,130.0,AFE,Kake Airport
PALG,KALSKAG,61.536269999999995,-160.34133,17.0,2010-02-23 00:56:00-06,Runway 6/24,81.0,KLG,Kalskag Airport
PAKV,KALTAG AIRPORT (ASOS),64.31898000000001,-158.74131,60.0,1998-08-01 03:53:00-05,Runway 3/21,47.0,KAL,Kaltag Airport
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,29.0,1948-07-01 05:00:00-05,Runway 2L/20R,31.0,ENA,Kenai Municipal Airport
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,29.0,1948-07-01 05:00:00-05,Runway 2R/20L,31.0,ENA,Kenai Municipal Airport
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,29.0,1948-07-01 05:00:00-05,Runway 2W/20W,,ENA,Kenai Municipal Airport
PAKT,KETCHIKAN INTL ARPT (ASOS),55.356669999999994,-131.71167,29.0,1948-07-01 12:00:00-05,Runway 11/29,136.0,KTN,Ketchikan International Airport
PAKT,KETCHIKAN INTL ARPT (ASOS),55.356669999999994,-131.71167,29.0,1948-07-01 12:00:00-05,Runway WNW/ESE,,KTN,Ketchikan International Airport
PAIK,Kiana,66.97595,-160.43653,51.0,1983-12-22 17:00:00-06,Runway 7/25,85.0,IAN,Bob Baker Memorial Airport
PAVC,KING COVE,55.11635,-162.26623,47.0,2010-02-24 06:17:00-06,Runway 8/26,88.0,KVC,King Cove Airport
PAKN,KING SALMON (ASOS),58.683609999999994,-156.65389,15.0,1942-01-10 13:00:00-06,Runway 12/30,132.0,AKN,King Salmon Airport
PAKN,KING SALMON (ASOS),58.683609999999994,-156.65389,15.0,1942-01-10 13:00:00-06,Runway 18/36,196.0,AKN,King Salmon Airport
PAKN,KING SALMON (ASOS),58.683609999999994,-156.65389,15.0,1942-01-10 13:00:00-06,Runway NW/SE,,AKN,King Salmon Airport
PAKI,KIPNUK,59.93,-164.03,3.0,1983-12-01 11:00:00-06,Runway 17/35,183.0,IIK,Kipnuk Airport
PAVL,KIVALINA AIRPORT (ASOS),67.73167,-164.54833,3.0,1998-08-01 03:53:00-05,Runway 12/30,137.0,KVL,Kivalina Airport
PAKW,KLAWOCK (ASOS),55.57923,-133.076,15.0,1980-10-15 09:00:00-05,Runway 2/20,39.0,AKW,Klawock Airport
PADQ,KODIAK (ASOS),57.74997,-152.49386,34.0,1945-01-01 05:00:00-05,Runway 8/26,92.0,ADQ,Kodiak Airport
PADQ,KODIAK (ASOS),57.74997,-152.49386,34.0,1945-01-01 05:00:00-05,Runway 11/29,127.0,ADQ,Kodiak Airport
PADQ,KODIAK (ASOS),57.74997,-152.49386,34.0,1945-01-01 05:00:00-05,Runway 1/19,22.0,ADQ,Kodiak Airport
PAJZ,KOLIGANEK,59.72664,-157.25947,82.0,2010-02-23 00:56:00-06,Runway 9/27,106.0,JZZ,Koliganek Airport
PAOT,Kotzebue / Wien,66.88571999999999,-162.60679,1.0,1945-01-01 06:00:00-05,Runway 9/27,102.0,OTZ,Ralph Wien Memorial Airport
PAOT,Kotzebue / Wien,66.88571999999999,-162.60679,1.0,1945-01-01 06:00:00-05,Runway 18/36,194.0,OTZ,Ralph Wien Memorial Airport
PAKK,KOYUK,64.93949,-161.15427,40.0,1976-05-03 12:00:00-05,Runway 1/19,24.0,KKA,Koyuk Alfred Adams Airport
PAKU,KUPARUK AIRPORT,70.33083,-149.5975,20.0,1974-11-01 10:00:00-06,Runway 6/24,78.0,UBW,Ugnu-Kuparuk Airport
PFKW,Kwethluk,60.7903,-161.4437,6.0,2014-05-15 10:56:00-05,Runway 18/36,196.0,KWT,Kwethluk Airport
